Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4488.pdf"";""BOE-A-2021-4488"")","Resolución de 11 de febrero de 2021, de la Dirección General de Política Energética y Minas, por la que se determina el incentivo a la reducción de las mermas de transporte correspondientes al año 2018.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4489.pdf"";""BOE-A-2021-4489"")","Resolución de 11 de febrero de 2021, de la Dirección General de Política Energética y Minas, por la que se establece la valoración de los saldos de mermas de plantas de regasificación del año 2018.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4476.pdf"";""BOE-A-2021-4476"")","Resolución de 10 de marzo de 2021, de la Dirección General de Trabajo, por la que se registra y publica el III Convenio colectivo marco estatal del sector ocio educativo y animación sociocultural.",2021-03-22,"Arbitraje laboral, Centros de animación sociocultural, Conflictos colectivos de trabajo, Convenios colectivos, Ocio",,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13854.pdf"";""BOE-B-2021-13854"")",Anuncio de formalización de contratos de: Subsecretaría del Ministerio de Justicia. Objeto: Suministro por lotes (10) de equipos de laboratorio de uso rutinario para los servicios del Instituto Nacional de Toxicología y Ciencias Forenses. Expediente: ASU/2019/058.,2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13868.pdf"";""BOE-B-2021-13868"")","Anuncio de licitación de: Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla. Objeto: Servicio para seguimiento de obras, servicios y suministros de sistemas de protección de seguridad en instalaciones, infraestructuras y edificios de la Mancomunidad de los Canales del Taibilla, Años 2021- 2023 (Varios). Expediente: V-11/20-07.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4502.pdf"";""BOE-A-2021-4502"")","Sala Segunda. Sentencia 27/2021, de 15 de febrero de 2021. Recurso de amparo 6087-2019. Promovido por Euroinversiones Inmobiliarias Costa Sur, S.L., respecto de las resoluciones dictadas por un juzgado de primera instancia e instrucción de Lorca en procedimiento de ejecución hipotecaria. Vulneración del derecho a la tutela judicial efectiva: STC 40/2020 [inadecuada utilización de la dirección electrónica habilitada como cauce de comunicación del primer emplazamiento procesal (SSTC 6/2019 y 47/2019) e inadmisión de la oposición a la ejecución resultante de la confusión del deber de las personas jurídicas de relacionarse con la administración de justicia por medio de comunicaciones electrónicas con la regulación del primer emplazamiento en los procesos civiles].",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4500.pdf"";""BOE-A-2021-4500"")","Sala Segunda. Sentencia 25/2021, de 15 de febrero de 2021. Recurso de amparo 5857-2019. Promovido por Ferma Móvil, S.L., en relación con las resoluciones dictadas por un juzgado de primera instancia e instrucción de Ciudad Real en proceso de reclamación de cantidad. Vulneración del derecho a la tutela judicial efectiva: STC 40/2020 [inadecuada utilización de la dirección electrónica habilitada como cauce de comunicación del primer emplazamiento procesal (SSTC 6/2019 y 47/2019) e inadmisión de la oposición a la ejecución resultante de la confusión del deber de las personas jurídicas de relacionarse con la administración de justicia por medio de comunicaciones electrónicas con la regulación del primer emplazamiento en los procesos civiles].",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4514.pdf"";""BOE-A-2021-4514"")","Pleno. Sentencia 39/2021, de 18 de febrero de 2021. Conflicto positivo de competencia 4491-2020. Planteado por el Gobierno de la Junta de Andalucía en relación con el artículo 5.3 a) del Real Decreto 498/2020, de 28 de abril, por el que se desarrolla la estructura orgánica básica del Ministerio de Educación y Formación Profesional. Competencias sobre legislación laboral: nulidad del precepto reglamentario que presupone la reserva de potestades de ejecución a un órgano estatal.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13856.pdf"";""BOE-B-2021-13856"")",Anuncio de formalización de contratos de: ADIF - Presidencia. Objeto: Emergencia por efectos de la borrasca Gloria en el puente sobre el Tordera en el Punto Kilométrico 059/183 de la Línea 276 - Bifurcación Sagrera - Maçanet Massanes. Obra. Expediente: 3.20/27507.0026.,2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4474.pdf"";""BOE-A-2021-4474"")","Resolución de 10 de marzo de 2021, de la Dirección General de Trabajo, por la que se registra y publica el Convenio colectivo de Federación Farmacéutica, S.C.C.L.",2021-03-22,"Convenios colectivos, Cooperativas, Industria farmacéutica",,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4475.pdf"";""BOE-A-2021-4475"")","Resolución de 10 de marzo de 2021, de la Dirección General de Trabajo, por la que se registra y publica el III Convenio colectivo estatal del personal de estructura del Grupo Mercantil ISS.",2021-03-22,"Convenios colectivos, Empresas de servicios",,,,,
